Start_time	End_time	Prosody_Label
0	0.03	NP
0.03	0.06	NP
0.06	0.09	NP
0.09	0.12	NP
0.12	0.15	NP
0.15	0.18	NP
0.18	0.21	NP
0.21	0.24	NP
0.24	0.27	NP
0.27	0.3	NP
0.3	0.33	NP
0.33	0.36	NP
0.36	0.39	NP
0.39	0.42	NP
0.42	0.45	NP
0.45	0.48	H-H
0.48	0.51	H-H
0.51	0.54	VH-VH
0.54	0.57	VH-VH
0.57	0.6	VH-VH
0.6	0.63	VH-VH
0.63	0.66	VH-H
0.66	0.69	H-L
0.69	0.72	L-L
0.72	0.75	L-L
0.75	0.78	L-L
0.78	0.81	H-H
0.81	0.84	H-H
0.84	0.87	H-H
0.87	0.9	H-H
0.9	0.93	H-L
0.93	0.96	L-L
0.96	0.99	L-L
0.99	1.02	L-L
1.02	1.05	L-L
1.05	1.08	L-L
1.08	1.11	L-L
1.11	1.14	L-L
1.14	1.17	L-H
1.17	1.2	H-H
1.2	1.23	H-H
1.23	1.26	H-L
1.26	1.29	L-VL
1.29	1.32	VL-VL
1.32	1.35	VL-VL
1.35	1.38	VL-VL
1.38	1.41	VL-VL
1.41	1.44	VL-VL
1.44	1.47	VL-VL
1.47	1.5	VL-L
1.5	1.53	L-L
1.53	1.56	L-L
1.56	1.59	H-H
1.59	1.62	NP
1.62	1.65	NP
1.65	1.68	NP
1.68	1.71	NP
1.71	1.74	NP
1.74	1.77	NP
1.77	1.8	NP
1.8	1.83	NP
1.83	1.86	NP
1.86	1.89	NP
1.89	1.92	NP
1.92	1.95	NP
1.95	1.98	NP
1.98	2.01	H-H
2.01	2.04	H-H
2.04	2.07	H-H
2.07	2.1	H-H
2.1	2.13	H-H
2.13	2.16	H-H
2.16	2.19	NP
2.19	2.22	NP
2.22	2.25	NP
2.25	2.28	NP
2.28	2.31	L-L
2.31	2.34	L-L
2.34	2.37	L-L
2.37	2.4	L-L
2.4	2.43	VL-VL
2.43	2.46	VL-VL
2.46	2.49	VL-L
2.49	2.52	L-L
2.52	2.55	L-L
2.55	2.58	L-VL
2.58	2.61	VL-VL
2.61	2.64	NP
2.64	2.67	NP
2.67	2.7	NP
2.7	2.73	NP
2.73	2.76	NP
2.76	2.79	NP
2.79	2.82	VH-VH
2.82	2.85	VH-VH
2.85	2.88	VH-H
2.88	2.91	NP
2.91	2.94	NP
2.94	2.97	NP
2.97	3	VL-VL
3	3.03	VL-VL
3.03	3.06	VL-VL
3.06	3.09	VL-VL
3.09	3.12	VL-VL
3.12	3.15	VL-VL
3.15	3.18	VL-L
3.18	3.21	L-L
3.21	3.24	NP
3.24	3.27	NP
3.27	3.3	NP
3.3	3.33	NP
3.33	3.36	NP
3.36	3.39	NP
3.39	3.42	NP
3.42	3.45	NP
3.45	3.48	NP
3.48	3.51	NP
3.51	3.54	NP
3.54	3.57	NP
3.57	3.6	NP
3.6	3.617625	NP
